,time,ax,ay,az
0,10.008,-1.03,-4.53,-6.35
1,10.021,-0.15,-4.48,-5.59
2,10.04,0.19,-4.55,-3.54
3,10.059,-0.27,-4.85,3.23
4,10.098,-1.38,-4.35,7.06
5,10.1,-2.26,-3.28,7.19
6,10.116,-2.1,-1.35,1.35
7,10.135,1.47,-0.68,-3.68
8,10.153,1.99,-0.59,-4.94
9,10.172,1.2,-0.5,-1.11
10,10.192,-0.69,0.07,1.17
11,10.217,-1.44,1.16,1.77
12,10.23,-1.86,3.21,1.88
13,10.249,-2.04,3.69,2.23
14,10.269,-2.14,4.29,2.7
15,10.304,-2.08,4.8,2.74
16,10.306,-1.84,4.96,2.38
17,10.325,-1.69,4.74,1.99
18,10.344,-1.65,4.37,1.78
19,10.363,-1.55,3.93,1.37
20,10.388,-1.32,1.82,-1.19
21,10.41,-0.87,-3.76,-9.24
22,10.42,7.51,-9.66,-15.42
23,10.44,12.29,-9.82,-11.82
24,10.469,7.33,-2.28,-5.02
25,10.479,3.79,0.08,-3.26
26,10.496,1.46,2.51,-2.42
27,10.516,-0.98,0.44,-1.61
28,10.535,-1.4,-1.94,-1.34
29,10.554,-1.47,-3.71,0.99
30,10.573,-2.19,-4.04,1.68
31,10.591,0.12,-3.26,-7.07
32,10.623,2.72,-1.37,-8.83
33,10.631,4.11,-0.76,-8.28
34,10.649,3.2,1.46,0.97
35,10.668,2.46,2.49,2.11
36,10.687,2.43,0.16,5.62
37,10.713,2.25,-1.51,7.45
38,10.725,2.13,-1.11,5.44
39,10.744,2.16,-0.77,1.77
40,10.763,1.58,-0.73,-3.95
41,10.784,0.22,-0.25,-6.37
42,10.817,-0.71,0.68,-2.23
43,10.82,-1.03,1.51,3.0
44,10.839,-0.78,1.81,3.9
45,10.86,-0.36,1.63,3.3
46,10.877,-0.0,1.18,1.91
47,10.903,0.36,0.83,-0.03
48,10.94,0.77,0.7,-0.82
49,10.943,1.06,0.68,-0.81
50,10.953,0.96,0.63,-0.41
51,10.972,0.63,0.48,-0.46
52,10.998,0.3,0.19,-1.04
53,11.011,0.23,-0.1,-1.56
54,11.03,0.31,-0.16,-1.64
55,11.049,1.06,-0.04,-1.4
56,11.067,1.75,0.15,-1.07
