,time,ax,ay,az
0,10.005,0.85,-0.21,-4.3
1,10.012,0.55,0.01,-0.24
2,10.031,-0.03,0.38,2.1
3,10.049,-0.61,0.98,2.3
4,10.068,-1.15,1.99,1.66
5,10.096,-1.78,3.98,1.42
6,10.106,-2.54,5.02,2.04
7,10.125,-3.09,5.99,2.69
8,10.145,-3.26,6.4,2.79
9,10.164,-3.24,6.35,2.74
10,10.185,-2.84,5.33,2.29
11,10.21,-2.45,3.14,-0.16
12,10.226,-2.26,1.16,-2.77
13,10.246,0.41,-5.88,-13.1
14,10.26,2.7,-6.5,-13.59
15,10.278,5.11,-2.88,-5.84
16,10.299,3.06,-0.77,-3.49
17,10.316,2.7,2.63,-2.74
18,10.335,2.56,3.4,-0.52
19,10.354,2.25,3.43,-0.18
20,10.388,-3.2,-6.81,1.18
21,10.395,-3.71,-10.51,-0.87
22,10.411,0.96,-8.36,-8.4
23,10.43,1.81,-2.63,-8.96
24,10.45,-1.19,3.92,1.08
25,10.469,-2.59,6.58,5.18
26,10.487,-0.43,4.77,6.35
27,10.506,0.43,0.77,6.81
28,10.525,1.06,-3.25,4.57
29,10.546,1.99,-3.43,2.6
30,10.564,2.79,-0.75,-1.79
31,10.586,2.14,1.07,-4.37
32,10.601,0.59,1.37,-4.85
33,10.624,-0.15,1.95,1.99
34,10.641,-0.03,1.77,3.92
35,10.658,0.19,1.1,1.75
36,10.69,0.34,0.61,0.79
37,10.696,0.3,0.54,0.05
38,10.715,0.29,0.76,-0.39
39,10.735,0.56,1.09,0.05
40,10.753,0.73,1.18,0.5
41,10.772,1.0,0.72,1.2
42,10.791,0.75,0.1,0.49
43,10.81,0.27,-0.4,-0.69
44,10.829,-0.06,-0.71,-1.7
45,10.849,0.41,-0.73,-2.1
46,10.867,2.71,-0.65,-2.13
47,10.888,3.37,-0.65,-2.25
48,10.905,4.29,-0.7,-2.84
49,10.924,4.11,-0.98,-3.83
50,10.944,0.64,-3.12,-5.59
51,10.963,-0.41,-4.09,-6.13
52,10.99,-1.19,-4.69,-6.24
53,11.001,-1.33,-4.52,-6.09
54,11.02,-0.84,-4.35,-3.68
