,time,ax,ay,az
0,10.006,-3.9,-5.81,-1.97
1,10.016,-4.41,-5.47,-1.44
2,10.025,-4.56,-5.2,-0.95
3,10.035,-4.42,-4.94,-0.61
4,10.044,-4.05,-4.76,-0.37
5,10.06,-3.51,-4.72,0.06
6,10.063,-2.92,-4.76,1.74
7,10.075,-2.38,-4.72,2.02
8,10.082,-1.93,-4.45,2.13
9,10.092,-1.59,-3.89,1.76
10,10.101,-1.47,-2.2,0.22
11,10.111,-1.5,-1.63,-0.29
12,10.121,-1.69,-0.1,-0.79
13,10.13,-2.07,0.27,-1.13
14,10.139,-2.5,0.74,-1.29
15,10.149,-2.5,0.74,-1.29
16,10.16,-3.16,1.6,-1.01
17,10.17,-3.18,1.99,-0.64
18,10.177,-2.91,2.37,-0.21
19,10.187,-2.45,2.77,0.11
20,10.196,-1.88,3.13,0.27
21,10.206,-1.32,3.49,0.3
22,10.215,-0.88,3.79,0.26
23,10.225,-0.64,3.99,0.23
24,10.234,-0.59,4.11,0.17
25,10.244,-0.72,4.11,0.09
26,10.259,-1.0,3.99,-0.04
27,10.263,-1.28,3.84,-0.2
28,10.274,-1.5,3.69,-0.29
29,10.282,-1.58,3.6,-0.26
30,10.292,-1.47,3.56,-0.12
31,10.301,-1.21,3.5,0.09
32,10.31,-0.84,3.36,0.29
33,10.322,-0.44,3.12,0.41
34,10.33,0.0,2.73,0.44
35,10.339,0.0,2.73,0.44
36,10.348,0.79,0.36,0.12
37,10.36,1.28,0.02,-0.19
38,10.368,1.79,-0.57,-0.62
39,10.377,2.26,-1.18,-1.1
40,10.388,2.61,-1.6,-1.55
41,10.396,2.73,-1.72,-1.91
42,10.406,2.64,-1.54,-2.21
43,10.415,2.41,-1.14,-2.46
44,10.424,2.16,-0.58,-2.8
45,10.434,1.98,-0.02,-3.26
46,10.444,1.89,0.51,-3.69
47,10.459,1.85,0.97,-3.9
48,10.466,1.83,1.32,-3.8
49,10.478,1.8,1.5,-3.32
50,10.482,1.7,1.56,-1.77
51,10.491,1.51,1.56,-1.32
52,10.501,1.24,1.53,-0.85
53,10.51,0.92,1.55,-0.58
54,10.521,0.58,1.59,-0.59
55,10.529,0.58,1.59,-0.59
56,10.539,0.03,1.6,-1.0
57,10.548,-0.11,1.56,-1.07
58,10.56,-0.12,1.48,-0.97
59,10.567,-0.02,1.43,-0.77
60,10.577,0.13,1.5,-0.55
61,10.588,0.3,1.63,-0.33
62,10.596,0.42,1.86,-0.17
63,10.606,0.46,2.16,-0.04
64,10.615,0.44,2.48,0.1
65,10.625,0.42,2.8,0.23
66,10.634,0.42,3.15,0.37
67,10.644,0.52,3.48,0.51
68,10.659,0.71,3.73,0.71
69,10.663,0.8,3.65,0.95
70,10.677,0.6,1.02,1.27
71,10.681,-1.16,-2.53,1.72
72,10.691,-3.11,-6.34,2.32
73,10.701,-3.68,-8.09,2.99
74,10.712,-4.22,-7.73,3.47
75,10.721,-4.38,-4.1,3.6
76,10.729,-4.1,-0.97,3.43
77,10.739,-4.1,-0.97,3.43
78,10.748,-3.55,0.73,3.5
79,10.76,-3.83,0.22,5.23
80,10.767,-4.34,-3.29,5.59
81,10.777,-4.83,-6.76,5.9
82,10.787,-4.96,-9.89,5.87
83,10.796,-2.3,-10.38,3.28
84,10.806,2.21,-10.4,-0.09
85,10.815,6.35,-7.37,-1.68
86,10.825,8.2,-4.23,-2.12
87,10.834,8.58,-2.26,-0.77
88,10.844,6.46,-1.87,2.51
89,10.859,4.33,-1.32,4.19
90,10.862,3.8,-0.8,5.56
91,10.877,2.27,-0.28,5.62
92,10.881,1.98,0.2,5.5
93,10.903,1.62,0.6,5.17
94,10.906,1.21,0.93,4.65
95,10.911,1.21,0.93,4.65
96,10.921,0.21,1.39,3.24
97,10.929,0.21,1.39,3.24
98,10.939,-0.83,1.67,2.02
99,10.948,-1.27,1.79,1.58
100,10.958,-1.55,1.85,1.3
101,10.967,-1.58,1.85,1.18
102,10.976,-1.27,1.84,1.13
103,10.99,-0.7,1.78,1.04
104,10.995,0.85,1.77,0.9
105,11.006,1.22,1.73,0.69
106,11.015,1.53,1.58,0.5
107,11.024,1.65,1.24,0.38
108,11.034,1.58,0.65,0.29
109,11.043,1.36,-0.94,0.15
110,11.058,1.18,-1.28,-0.18
111,11.062,1.16,-1.47,-0.74
112,11.075,1.32,-1.37,-1.44
113,11.081,1.59,-0.96,-2.01
114,11.091,1.79,-0.41,-2.23
115,11.102,1.83,0.01,-2.06
116,11.111,1.65,0.18,-1.59
117,11.121,1.32,0.17,-1.05
118,11.129,1.32,0.17,-1.05
119,11.139,0.52,-0.02,-0.08
120,11.148,0.15,0.05,0.21
121,11.16,-0.1,0.21,0.35
122,11.167,-0.17,0.5,0.32
123,11.176,-0.07,0.84,0.12
124,11.187,0.18,1.2,-0.14
125,11.195,0.51,1.52,-0.4
126,11.205,0.86,1.75,-0.54
127,11.215,1.13,1.86,-0.52
128,11.224,1.26,1.86,-0.47
129,11.234,1.19,1.79,-0.55
130,11.243,0.92,1.74,-0.81
131,11.259,0.48,1.77,-1.14
132,11.262,0.01,1.93,-1.4
133,11.275,-0.38,2.18,-1.45
134,11.281,-0.62,2.48,-1.41
135,11.29,-0.75,2.71,-1.45
136,11.301,-0.89,2.82,-1.53
137,11.31,-0.89,2.82,-1.53
138,11.32,-1.53,2.8,-1.3
139,11.328,-1.84,2.89,-0.74
140,11.338,-1.95,3.05,0.82
141,11.348,-1.8,3.25,1.25
142,11.36,-1.42,3.33,1.64
143,11.369,-0.95,3.19,1.57
144,11.38,-0.35,2.84,-0.7
145,11.388,1.18,2.4,-2.66
146,11.395,1.59,2.06,-3.06
147,11.405,2.06,1.84,-3.39
148,11.414,2.5,1.56,-3.32
149,11.424,2.9,-0.89,-3.11
150,11.434,3.25,-4.12,-3.15
151,11.443,3.57,-7.15,-3.53
152,11.458,3.6,-9.01,-4.12
153,11.462,2.05,-9.11,-4.55
154,11.475,0.0,-8.97,-4.48
155,11.481,-2.3,-8.71,-2.84
156,11.491,-4.32,-8.63,-2.3
157,11.5,-4.79,-8.74,-0.72
158,11.51,-5.29,-8.68,-0.4
159,11.52,-5.29,-8.68,-0.4
160,11.529,-5.47,-6.38,0.0
161,11.538,-5.04,-4.48,0.2
162,11.548,-3.27,-4.16,0.3
163,11.559,-2.83,-3.79,0.25
164,11.567,-1.22,-3.48,-0.01
165,11.581,-0.72,-3.19,-0.57
166,11.588,-0.21,-2.81,-2.17
167,11.595,0.08,-2.28,-2.59
168,11.605,0.07,-0.58,-3.01
169,11.614,-0.17,-0.26,-3.2
170,11.624,-0.53,0.24,-3.13
171,11.633,-0.88,0.79,-2.84
172,11.642,-1.07,1.32,-2.38
