,time,ax,ay,az
0,10.001,0.3,-0.35,4.71
1,10.02,-0.03,-1.13,4.69
2,10.039,-2.18,-1.91,0.48
3,10.064,-3.3,-2.63,-1.61
4,10.09,-3.09,-3.29,-1.11
5,10.099,-2.0,-3.61,-0.07
6,10.116,-1.2,-3.52,0.2
7,10.135,-1.17,-3.25,-0.64
8,10.154,-1.68,-2.87,-2.67
9,10.172,-1.97,-2.5,-3.34
10,10.209,-1.63,-2.44,-4.1
11,10.223,-0.8,-2.54,-4.93
12,10.231,-0.07,-2.6,-4.72
13,10.248,0.47,-2.36,-1.39
14,10.268,1.47,-1.92,0.7
15,10.287,2.25,-1.87,1.35
16,10.306,0.37,-1.79,0.77
17,10.325,-1.6,-0.88,-1.14
18,10.344,-2.12,0.94,-2.04
19,10.362,-0.17,1.2,-2.17
20,10.387,1.96,1.14,-1.51
21,10.413,2.33,1.07,-1.27
22,10.419,1.94,1.25,-1.63
23,10.44,0.99,1.8,-1.15
24,10.458,0.51,2.15,-0.6
25,10.486,-0.33,3.35,0.23
26,10.496,-0.44,3.88,0.18
27,10.515,-0.62,4.15,-0.15
28,10.534,-0.72,4.25,-0.69
29,10.552,-0.46,4.4,-1.25
30,10.572,0.03,4.54,-1.67
31,10.591,0.33,4.33,-1.9
32,10.615,0.52,3.84,-2.19
33,10.629,0.88,3.43,-2.6
34,10.648,1.1,3.31,-2.83
35,10.667,1.41,3.39,-3.31
36,10.694,1.31,3.74,-3.26
37,10.705,1.21,4.04,-3.04
38,10.724,1.23,4.16,-2.57
39,10.743,1.47,3.97,-1.96
40,10.762,1.92,3.34,-3.91
41,10.782,2.46,-0.15,-8.5
42,10.805,2.39,-4.46,-8.69
43,10.82,1.11,-5.4,-6.13
44,10.839,-0.15,-0.84,-1.88
45,10.857,-2.19,3.9,-0.69
46,10.892,-2.57,4.11,2.17
47,10.895,-1.56,1.99,4.77
48,10.914,-1.51,-1.67,2.44
49,10.935,-1.4,-4.09,0.86
50,10.953,-0.41,-5.7,1.39
51,10.971,0.55,-5.11,1.89
52,10.99,0.89,-3.08,2.47
53,11.009,0.72,-1.09,3.51
54,11.029,0.3,-0.72,4.3
55,11.048,0.14,-0.82,4.44
56,11.067,0.26,-2.11,4.45
57,11.085,0.36,-2.73,3.77
58,11.109,0.14,-2.33,2.87
59,11.123,-0.45,-1.26,2.71
60,11.143,-1.2,-0.21,3.14
61,11.162,-1.89,0.61,3.39
62,11.181,-2.21,1.03,3.27
63,11.211,-1.67,1.1,3.11
64,11.233,0.65,1.07,2.82
65,11.238,1.11,0.88,2.24
66,11.257,1.41,0.66,1.94
67,11.278,1.17,0.55,1.59
68,11.307,0.43,0.53,1.18
69,11.314,-0.26,0.68,0.95
70,11.333,-0.6,0.85,1.06
71,11.352,-0.72,0.83,1.34
72,11.371,-0.87,0.57,1.32
73,11.39,-1.12,0.22,0.94
74,11.417,-1.05,0.07,0.74
75,11.428,-0.8,-0.03,1.09
76,11.447,-0.67,-0.19,1.6
77,11.466,-0.44,0.0,1.84
78,11.485,-0.21,0.43,2.05
79,11.507,-0.41,0.62,2.08
80,11.523,-0.91,0.66,1.83
81,11.542,-1.07,0.67,1.56
82,11.561,-0.8,0.19,1.63
83,11.579,-0.32,-0.51,1.83
84,11.609,0.37,-0.79,2.08
85,11.618,0.79,-1.08,2.81
86,11.637,0.58,-1.77,3.3
87,11.657,0.23,-2.68,1.25
88,11.675,-0.16,-4.87,-1.0
89,11.696,-0.26,-5.58,-1.94
90,11.719,-0.06,-6.17,-2.33
91,11.733,-0.11,-5.84,-2.49
92,11.752,-0.53,-4.8,-2.95
93,11.77,-1.04,-3.6,-3.56
94,11.789,-1.29,-3.09,-3.81
95,11.816,-1.51,-3.08,-3.42
96,11.827,-1.65,-3.07,-3.0
97,11.847,-1.7,-2.15,-1.81
98,11.866,0.49,-0.23,0.46
99,11.889,1.53,0.16,1.19
100,11.905,2.12,0.16,1.49
101,11.922,1.8,0.15,-1.95
102,11.941,-0.43,0.55,-3.69
103,11.96,-0.55,1.25,-1.35
104,11.98,-0.18,1.75,-0.05
105,12.014,0.01,2.06,-0.0
106,12.018,-0.08,2.16,-1.58
107,12.037,-0.66,2.61,-1.16
108,12.056,-0.98,3.34,1.04
109,12.079,-1.2,4.23,1.56
110,12.106,-1.27,4.86,1.57
111,12.113,-1.07,5.09,0.88
112,12.132,-0.58,5.33,-1.1
113,12.151,0.11,5.54,-2.35
114,12.169,1.0,5.47,-3.19
115,12.189,1.88,5.06,-3.28
116,12.226,2.55,4.54,-3.06
117,12.232,2.69,4.19,-3.01
118,12.247,2.04,3.93,-3.4
119,12.265,1.54,3.8,-3.67
120,12.284,0.48,3.87,-3.46
121,12.303,0.53,3.93,-2.52
122,12.328,0.9,3.32,-5.87
123,12.341,1.83,-0.14,-9.57
124,12.36,3.03,-4.38,-9.76
125,12.379,1.85,-5.07,-7.32
126,12.409,0.21,0.51,-0.79
127,12.417,-0.2,3.96,1.97
128,12.437,-0.82,3.97,6.08
129,12.456,-1.4,1.37,6.72
130,12.477,-2.33,-3.16,2.53
131,12.507,-2.33,-6.82,0.8
132,12.512,-1.73,-7.32,1.02
133,12.532,-1.15,-5.29,1.8
