time,ax,ay,az,wx,wy,wz
5.001,0.16,0.22,-0.07,0,0.01,-0.06
5.002,0.16,0.22,-0.07,0,0.01,-0.06
5.003,0.15,0.22,-0.07,0,0.01,-0.06
5.004,0.15,0.22,-0.07,0,0.01,-0.06
5.011,0.15,0.22,-0.07,-0.01,0.02,-0.08
5.012,0.15,0.22,-0.07,-0.01,0.02,-0.08
5.013,0.15,0.22,-0.07,-0.01,0.02,-0.08
5.014,0.15,0.22,-0.07,-0.01,0.02,-0.08
5.02,0.15,0.22,-0.07,-0.02,0.02,-0.09
5.021,0.15,0.22,-0.07,-0.02,0.02,-0.09
5.022,0.15,0.22,-0.07,-0.02,0.02,-0.09
5.023,0.15,0.22,-0.07,-0.02,0.02,-0.09
5.031,0.15,0.22,-0.07,-0.03,0.03,-0.1
5.032,0.15,0.22,-0.07,-0.03,0.03,-0.1
5.033,0.15,0.22,-0.07,-0.03,0.03,-0.1
5.033,0.15,0.22,-0.07,-0.03,0.03,-0.1
5.041,0.15,0.22,-0.07,-0.03,0.03,-0.1
5.042,0.15,0.22,-0.07,-0.03,0.03,-0.1
5.042,0.15,0.22,-0.07,-0.03,0.03,-0.1
5.042,0.15,0.22,-0.07,-0.03,0.03,-0.1
5.052,0.15,0.22,-0.07,-0.03,0.03,-0.1
5.053,0.15,0.22,-0.07,-0.03,0.03,-0.1
5.053,0.15,0.22,-0.07,-0.03,0.03,-0.1
5.054,0.15,0.22,-0.07,-0.03,0.03,-0.1
5.06,0.15,0.22,-0.07,-0.03,0.03,-0.09
5.061,0.15,0.22,-0.07,-0.03,0.03,-0.09
5.061,0.14,0.22,-0.07,-0.03,0.03,-0.09
5.062,0.14,0.22,-0.07,-0.03,0.03,-0.09
5.068,0.14,0.22,-0.07,-0.03,0.03,-0.08
5.069,0.14,0.22,-0.07,-0.03,0.03,-0.08
5.069,0.14,0.22,-0.07,-0.03,0.03,-0.08
5.07,0.14,0.22,-0.07,-0.03,0.03,-0.08
5.077,0.14,0.22,-0.07,-0.02,0.02,-0.07
5.078,0.14,0.22,-0.07,-0.02,0.02,-0.07
5.079,0.14,0.22,-0.07,-0.02,0.02,-0.07
5.079,0.14,0.22,-0.07,-0.02,0.02,-0.07
5.087,0.14,0.22,-0.07,-0.02,0.02,-0.06
5.088,0.14,0.22,-0.07,-0.02,0.02,-0.06
5.089,0.14,0.22,-0.07,-0.02,0.02,-0.06
5.089,0.14,0.22,-0.07,-0.02,0.02,-0.06
5.097,0.14,0.22,-0.07,-0.02,0.01,-0.05
5.098,0.14,0.22,-0.07,-0.02,0.01,-0.05
5.099,0.14,0.22,-0.06,-0.02,0.01,-0.05
5.1,0.14,0.22,-0.06,-0.02,0.01,-0.05
5.107,0.14,0.22,-0.06,-0.01,0.01,-0.04
5.107,0.14,0.22,-0.06,-0.01,0.01,-0.04
5.108,0.04,0.04,-0.25,-0.01,0.01,-0.04
5.109,0.04,0.04,-0.25,-0.01,0.01,-0.04
5.115,0.04,0.04,-0.25,-0.02,0.01,-0.03
5.116,0.04,0.04,-0.25,-0.02,0.01,-0.03
5.117,0.13,0.02,-0.26,-0.02,0.01,-0.03
5.117,0.13,0.02,-0.26,-0.02,0.01,-0.03
5.131,0.13,0.02,-0.26,-0.05,0,-0.03
5.132,0.13,0.02,-0.26,-0.05,0,-0.03
5.133,0.23,0.02,-0.26,-0.05,0,-0.03
5.133,0.23,0.02,-0.26,-0.05,0,-0.03
5.135,0.23,0.02,-0.26,-0.09,-0.02,-0.03
5.136,0.23,0.02,-0.26,-0.09,-0.02,-0.03
5.136,0.3,0.02,-0.25,-0.09,-0.02,-0.03
5.137,0.3,0.02,-0.25,-0.09,-0.02,-0.03
5.143,0.3,0.02,-0.25,-0.15,-0.05,-0.05
5.144,0.3,0.02,-0.25,-0.15,-0.05,-0.05
5.145,0.36,-0.01,-0.24,-0.15,-0.05,-0.05
5.145,0.36,-0.01,-0.24,-0.15,-0.05,-0.05
5.154,0.36,-0.01,-0.24,-0.19,-0.08,-0.07
5.156,0.36,-0.01,-0.24,-0.19,-0.08,-0.07
5.156,0.43,-0.01,-0.27,-0.19,-0.08,-0.07
5.157,0.43,-0.01,-0.27,-0.19,-0.08,-0.07
5.163,0.43,-0.01,-0.27,-0.21,-0.11,-0.11
5.164,0.43,-0.01,-0.27,-0.21,-0.11,-0.11
5.165,0.5,-0.07,-0.36,-0.21,-0.11,-0.11
5.166,0.5,-0.07,-0.36,-0.21,-0.11,-0.11
5.173,0.5,-0.07,-0.36,-0.22,-0.14,-0.16
5.173,0.5,-0.07,-0.36,-0.22,-0.14,-0.16
5.174,0.56,-0.09,-0.48,-0.22,-0.14,-0.16
5.174,0.56,-0.09,-0.48,-0.22,-0.14,-0.16
5.182,0.56,-0.09,-0.48,-0.24,-0.16,-0.22
5.183,0.56,-0.09,-0.48,-0.24,-0.16,-0.22
5.184,0.6,-0.08,-0.63,-0.24,-0.16,-0.22
5.184,0.6,-0.08,-0.63,-0.24,-0.16,-0.22
5.192,0.6,-0.08,-0.63,-0.27,-0.16,-0.27
5.194,0.6,-0.08,-0.63,-0.27,-0.16,-0.27
5.194,0.61,-0.11,-0.76,-0.27,-0.16,-0.27
5.195,0.61,-0.11,-0.76,-0.27,-0.16,-0.27
5.201,0.61,-0.11,-0.76,-0.32,-0.16,-0.32
5.202,0.61,-0.11,-0.76,-0.32,-0.16,-0.32
5.203,0.59,-0.16,-0.87,-0.32,-0.16,-0.32
5.203,0.59,-0.16,-0.87,-0.32,-0.16,-0.32
5.211,0.59,-0.16,-0.87,-0.4,-0.16,-0.35
5.211,0.59,-0.16,-0.87,-0.4,-0.16,-0.35
5.212,0.59,-0.22,-0.97,-0.4,-0.16,-0.35
5.213,0.59,-0.22,-0.97,-0.4,-0.16,-0.35
5.221,0.59,-0.22,-0.97,-0.48,-0.15,-0.36
5.222,0.59,-0.22,-0.97,-0.48,-0.15,-0.36
5.223,0.63,-0.28,-1.05,-0.48,-0.15,-0.36
5.224,0.63,-0.28,-1.05,-0.48,-0.15,-0.36
5.23,0.63,-0.28,-1.05,-0.48,-0.15,-0.36
5.231,0.63,-0.28,-1.05,-0.48,-0.15,-0.36
5.232,0.63,-0.28,-1.05,-0.48,-0.15,-0.36
5.232,0.63,-0.28,-1.05,-0.48,-0.15,-0.36
5.24,0.63,-0.28,-1.05,-0.56,-0.14,-0.37
5.24,0.63,-0.28,-1.05,-0.56,-0.14,-0.37
5.241,0.76,-0.31,-1.2,-0.56,-0.14,-0.37
5.241,0.76,-0.31,-1.2,-0.56,-0.14,-0.37
5.249,0.76,-0.31,-1.2,-0.63,-0.12,-0.37
5.25,0.76,-0.31,-1.2,-0.63,-0.12,-0.37
5.25,0.82,-0.27,-1.3,-0.63,-0.12,-0.37
5.251,0.82,-0.27,-1.3,-0.63,-0.12,-0.37
5.259,0.82,-0.27,-1.3,-0.7,-0.11,-0.37
5.26,0.82,-0.27,-1.3,-0.7,-0.11,-0.37
5.26,0.87,-0.24,-1.48,-0.7,-0.11,-0.37
5.26,0.87,-0.24,-1.48,-0.7,-0.11,-0.37
5.268,0.87,-0.24,-1.48,-0.77,-0.12,-0.39
5.269,0.87,-0.24,-1.48,-0.77,-0.12,-0.39
5.269,0.93,-0.23,-1.7,-0.77,-0.12,-0.39
5.27,0.93,-0.23,-1.7,-0.77,-0.12,-0.39
5.277,0.93,-0.23,-1.7,-0.84,-0.12,-0.41
5.278,0.93,-0.23,-1.7,-0.84,-0.12,-0.41
5.278,1.02,-0.18,-1.93,-0.84,-0.12,-0.41
5.279,1.02,-0.18,-1.93,-0.84,-0.12,-0.41
5.287,1.02,-0.18,-1.93,-0.92,-0.12,-0.44
5.287,1.02,-0.18,-1.93,-0.92,-0.12,-0.44
5.288,1.15,-0.16,-2.18,-0.92,-0.12,-0.44
5.288,1.15,-0.16,-2.18,-0.92,-0.12,-0.44
5.296,1.15,-0.16,-2.18,-1.02,-0.13,-0.46
5.296,1.15,-0.16,-2.18,-1.02,-0.13,-0.46
