
time,ax,ay,az,wx,wy,wz,
0.232,0.03,-0.10,-0.17,-0.01,0.06,-0.01,
0.232,-0.01,-0.08,-0.28,-0.01,0.06,-0.01,
0.233,-0.01,-0.08,-0.28,-0.01,0.06,-0.01,
0.24,-0.01,-0.08,-0.28,0.02,0.04,-0.00,
0.24,-0.01,-0.08,-0.28,0.02,0.04,-0.00,
0.241,-0.01,-0.04,-0.31,0.02,0.04,-0.00,
0.241,-0.01,-0.04,-0.31,0.02,0.04,-0.00,
0.248,-0.01,-0.04,-0.31,0.05,0.02,0.00,
0.249,-0.01,-0.04,-0.31,0.05,0.02,0.00,
0.249,-0.02,0.00,-0.27,0.05,0.02,0.00,
0.25,-0.02,0.00,-0.27,0.05,0.02,0.00,
0.255,-0.02,0.00,-0.27,0.05,0.02,0.00,
0.256,-0.02,0.00,-0.27,0.05,0.02,0.00,
0.256,-0.02,0.00,-0.27,0.05,0.02,0.00,
0.257,-0.02,0.00,-0.27,0.05,0.02,0.00,
0.262,-0.02,0.00,-0.27,0.09,0.02,0.02,
0.263,-0.02,0.00,-0.27,0.09,0.02,0.02,
0.264,0.04,0.07,-0.10,0.09,0.02,0.02,
0.264,0.04,0.07,-0.10,0.09,0.02,0.02,
0.271,0.04,0.07,-0.10,0.12,0.02,0.04,
0.272,0.04,0.07,-0.10,0.12,0.02,0.04,
0.273,0.09,0.13,-0.03,0.12,0.02,0.04,
0.273,0.09,0.13,-0.03,0.12,0.02,0.04,
0.281,0.09,0.13,-0.03,0.15,0.02,0.06,
0.282,0.09,0.13,-0.03,0.15,0.02,0.06,
0.283,0.19,0.16,0.02,0.15,0.02,0.06,
0.283,0.19,0.16,0.02,0.15,0.02,0.06,
0.294,0.19,0.16,0.02,0.19,-0.03,0.08,
0.295,0.19,0.16,0.02,0.19,-0.03,0.08,
0.296,0.27,0.19,0.08,0.19,-0.03,0.08,
0.296,0.27,0.19,0.08,0.19,-0.03,0.08,
0.313,0.27,0.19,0.08,0.19,-0.03,0.08,
0.313,0.27,0.19,0.08,0.19,-0.03,0.08,
0.314,0.27,0.19,0.08,0.19,-0.03,0.08,
0.315,0.27,0.19,0.08,0.19,-0.03,0.08,
0.315,0.27,0.19,0.08,0.21,-0.15,0.05,
0.316,0.27,0.19,0.08,0.21,-0.15,0.05,
0.316,0.27,0.19,0.08,0.21,-0.15,0.05,
