time,ax,ay,az,wx,wy,wz
5.002,1.43,-0.51,0.44,0.42,-0.22,-0.57
5.003,1.43,-0.51,0.44,0.42,-0.22,-0.57
5.004,1.43,-0.51,0.44,0.42,-0.22,-0.57
5.004,1.43,-0.51,0.44,0.42,-0.22,-0.57
5.011,1.43,-0.51,0.44,0.43,-0.26,-0.71
5.012,1.43,-0.51,0.44,0.43,-0.26,-0.71
5.012,0.89,-0.25,0.21,0.43,-0.26,-0.71
5.012,0.89,-0.25,0.21,0.43,-0.26,-0.71
5.021,0.89,-0.25,0.21,0.41,-0.27,-0.82
5.021,0.89,-0.25,0.21,0.41,-0.27,-0.82
5.022,0.5,-0.15,0.2,0.41,-0.27,-0.82
5.022,0.5,-0.15,0.2,0.41,-0.27,-0.82
5.03,0.5,-0.15,0.2,0.35,-0.25,-0.82
5.031,0.5,-0.15,0.2,0.35,-0.25,-0.82
5.032,0.2,-0.1,0.26,0.35,-0.25,-0.82
5.032,0.2,-0.1,0.26,0.35,-0.25,-0.82
5.04,0.2,-0.1,0.26,0.27,-0.18,-0.69
5.04,0.2,-0.1,0.26,0.27,-0.18,-0.69
5.041,0.09,-0.09,0.37,0.27,-0.18,-0.69
5.042,0.09,-0.09,0.37,0.27,-0.18,-0.69
5.05,0.09,-0.09,0.37,0.2,-0.1,-0.47
5.052,0.09,-0.09,0.37,0.2,-0.1,-0.47
5.052,0.16,-0.12,0.44,0.2,-0.1,-0.47
5.053,0.16,-0.12,0.44,0.2,-0.1,-0.47
5.059,0.16,-0.12,0.44,0.16,-0.03,-0.21
5.06,0.16,-0.12,0.44,0.16,-0.03,-0.21
5.06,0.36,-0.15,0.47,0.16,-0.03,-0.21
5.06,0.36,-0.15,0.47,0.16,-0.03,-0.21
5.071,0.36,-0.15,0.47,0.15,0.03,-0.01
5.071,0.36,-0.15,0.47,0.15,0.03,-0.01
5.072,0.65,-0.15,0.44,0.15,0.03,-0.01
5.072,0.65,-0.15,0.44,0.15,0.03,-0.01
5.079,0.65,-0.15,0.44,0.15,0.06,0.11
5.08,0.65,-0.15,0.44,0.15,0.06,0.11
5.08,0.94,-0.09,0.37,0.15,0.06,0.11
5.08,0.94,-0.09,0.37,0.15,0.06,0.11
5.088,0.94,-0.09,0.37,0.15,0.06,0.13
5.089,0.94,-0.09,0.37,0.15,0.06,0.13
5.089,1.2,0.03,0.3,0.15,0.06,0.13
5.09,1.2,0.03,0.3,0.15,0.06,0.13
5.096,1.2,0.03,0.3,0.13,0.02,0.05
5.098,1.2,0.03,0.3,0.13,0.02,0.05
5.099,1.38,0.15,0.24,0.13,0.02,0.05
5.1,1.38,0.15,0.24,0.13,0.02,0.05
5.106,1.38,0.15,0.24,0.1,-0.04,-0.09
5.107,1.38,0.15,0.24,0.1,-0.04,-0.09
5.108,1.43,0.27,0.22,0.1,-0.04,-0.09
5.109,1.43,0.27,0.22,0.1,-0.04,-0.09
5.115,1.43,0.27,0.22,0.07,-0.1,-0.27
5.116,1.43,0.27,0.22,0.07,-0.1,-0.27
5.117,1.4,0.33,0.23,0.07,-0.1,-0.27
5.118,1.4,0.33,0.23,0.07,-0.1,-0.27
5.124,1.4,0.33,0.23,0.03,-0.16,-0.43
5.125,1.4,0.33,0.23,0.03,-0.16,-0.43
5.125,1.26,0.36,0.25,0.03,-0.16,-0.43
5.126,1.26,0.36,0.25,0.03,-0.16,-0.43
5.135,1.26,0.36,0.25,0.01,-0.21,-0.55
5.136,1.26,0.36,0.25,0.01,-0.21,-0.55
5.136,1.07,0.34,0.23,0.01,-0.21,-0.55
5.137,1.07,0.34,0.23,0.01,-0.21,-0.55
5.144,1.07,0.34,0.23,-0.01,-0.24,-0.6
5.145,1.07,0.34,0.23,-0.01,-0.24,-0.6
5.145,0.83,0.31,0.15,-0.01,-0.24,-0.6
5.145,0.83,0.31,0.15,-0.01,-0.24,-0.6
5.153,0.83,0.31,0.15,-0.02,-0.25,-0.58
5.154,0.83,0.31,0.15,-0.02,-0.25,-0.58
5.154,0.55,0.31,-0.02,-0.02,-0.25,-0.58
5.154,0.55,0.31,-0.02,-0.02,-0.25,-0.58
5.162,0.55,0.31,-0.02,-0.03,-0.24,-0.48
5.163,0.55,0.31,-0.02,-0.03,-0.24,-0.48
5.163,0.28,0.31,-0.27,-0.03,-0.24,-0.48
5.164,0.28,0.31,-0.27,-0.03,-0.24,-0.48
5.173,0.28,0.31,-0.27,-0.08,-0.21,-0.32
5.173,0.28,0.31,-0.27,-0.08,-0.21,-0.32
5.174,0.06,0.32,-0.55,-0.08,-0.21,-0.32
5.174,0.06,0.32,-0.55,-0.08,-0.21,-0.32
5.183,0.06,0.32,-0.55,-0.16,-0.18,-0.12
5.184,0.06,0.32,-0.55,-0.16,-0.18,-0.12
5.185,-0.08,0.32,-0.81,-0.16,-0.18,-0.12
5.185,-0.08,0.32,-0.81,-0.16,-0.18,-0.12
5.192,-0.08,0.32,-0.81,-0.16,-0.18,-0.12
5.193,-0.08,0.32,-0.81,-0.16,-0.18,-0.12
5.194,-0.08,0.32,-0.81,-0.16,-0.18,-0.12
5.194,-0.08,0.32,-0.81,-0.16,-0.18,-0.12
5.201,-0.08,0.32,-0.81,-0.29,-0.14,0.1
5.202,-0.08,0.32,-0.81,-0.29,-0.14,0.1
5.203,0,0.2,-1.03,-0.29,-0.14,0.1
5.203,0,0.2,-1.03,-0.29,-0.14,0.1
