
time,ax,ay,az,wx,wy,wz,
0.24,-0.04,-0.04,0.13,-0.04,-0.10,-0.01,
0.24,-0.06,-0.04,0.13,-0.04,-0.10,-0.01,
0.241,-0.06,-0.04,0.13,-0.04,-0.10,-0.01,
0.25,-0.06,-0.04,0.13,-0.06,-0.06,-0.01,
0.251,-0.06,-0.04,0.13,-0.06,-0.06,-0.01,
0.253,-0.05,-0.02,0.19,-0.06,-0.06,-0.01,
0.254,-0.05,-0.02,0.19,-0.06,-0.06,-0.01,
0.255,-0.05,-0.02,0.19,-0.07,-0.03,-0.01,
0.256,-0.05,-0.02,0.19,-0.07,-0.03,-0.01,
0.257,-0.04,0.01,0.26,-0.07,-0.03,-0.01,
0.257,-0.04,0.01,0.26,-0.07,-0.03,-0.01,
0.264,-0.04,0.01,0.26,-0.07,0.00,-0.02,
0.265,-0.04,0.01,0.26,-0.07,0.00,-0.02,
0.265,-0.02,0.05,0.37,-0.07,0.00,-0.02,
0.266,-0.02,0.05,0.37,-0.07,0.00,-0.02,
0.274,-0.02,0.05,0.37,-0.08,0.03,-0.01,
0.275,-0.02,0.05,0.37,-0.08,0.03,-0.01,
0.276,0.01,0.07,0.47,-0.08,0.03,-0.01,
0.276,0.01,0.07,0.47,-0.08,0.03,-0.01,
0.284,0.01,0.07,0.47,-0.08,0.05,0.02,
0.285,0.01,0.07,0.47,-0.08,0.05,0.02,
0.285,0.01,0.07,0.50,-0.08,0.05,0.02,
0.286,0.01,0.07,0.50,-0.08,0.05,0.02,
0.292,0.01,0.07,0.50,-0.09,0.06,0.05,
0.293,0.01,0.07,0.50,-0.09,0.06,0.05,
0.293,0.04,0.05,0.50,-0.09,0.06,0.05,
0.294,0.04,0.05,0.50,-0.09,0.06,0.05,
0.302,0.04,0.05,0.50,-0.10,0.07,0.08,
0.303,0.04,0.05,0.50,-0.10,0.07,0.08,
0.304,0.03,0.02,0.44,-0.10,0.07,0.08,
0.305,0.03,0.02,0.44,-0.10,0.07,0.08,
0.311,0.03,0.02,0.44,-0.10,0.06,0.08,
0.312,0.03,0.02,0.44,-0.10,0.06,0.08,
0.313,-0.01,-0.01,0.33,-0.10,0.06,0.08,
0.314,-0.01,-0.01,0.33,-0.10,0.06,0.08,
0.321,-0.01,-0.01,0.33,-0.11,0.05,0.08,
0.322,-0.01,-0.01,0.33,-0.11,0.05,0.08,
0.323,-0.06,-0.04,0.21,-0.11,0.05,0.08,
0.324,-0.06,-0.04,0.21,-0.11,0.05,0.08,
0.33,-0.06,-0.04,0.21,-0.11,0.05,0.08,
0.331,-0.06,-0.04,0.21,-0.11,0.05,0.08,
0.332,-0.06,-0.04,0.21,-0.11,0.05,0.08,
0.332,-0.06,-0.04,0.21,-0.11,0.05,0.08,
0.345,-0.06,-0.04,0.21,-0.11,0.04,0.06,
0.346,-0.06,-0.04,0.21,-0.11,0.04,0.06,
0.347,-0.13,-0.02,0.05,-0.11,0.04,0.06,
0.347,-0.13,-0.02,0.05,-0.11,0.04,0.06,
0.35,-0.13,-0.02,0.05,-0.09,0.04,0.04,
0.351,-0.13,-0.02,0.05,-0.09,0.04,0.04,
0.352,-0.10,0.02,0.04,-0.09,0.04,0.04,
0.353,-0.10,0.02,0.04,-0.09,0.04,0.04,
0.359,-0.10,0.02,0.04,-0.07,0.06,0.02,
0.36,-0.10,0.02,0.04,-0.07,0.06,0.02,
0.361,-0.05,0.04,0.09,-0.07,0.06,0.02,
0.362,-0.05,0.04,0.09,-0.07,0.06,0.02,
0.368,-0.05,0.04,0.09,-0.04,0.08,0.02,
0.369,-0.05,0.04,0.09,-0.04,0.08,0.02,
0.37,-0.00,0.04,0.19,-0.04,0.08,0.02,
0.371,-0.00,0.04,0.19,-0.04,0.08,0.02,
