time,ax,ay,az,wx,wy,wz
5.003,0.63,0.06,-1.59,-0.92,1.38,-0.25
5.004,0.63,0.06,-1.59,-0.92,1.38,-0.25
5.004,0.69,0.1,-1.55,-0.92,1.38,-0.25
5.005,0.69,0.1,-1.55,-0.92,1.38,-0.25
5.012,0.69,0.1,-1.55,-0.78,1.22,-0.18
5.013,0.69,0.1,-1.55,-0.78,1.22,-0.18
5.013,0.73,0.13,-1.53,-0.78,1.22,-0.18
5.014,0.73,0.13,-1.53,-0.78,1.22,-0.18
5.021,0.73,0.13,-1.53,-0.64,1.1,-0.14
5.022,0.73,0.13,-1.53,-0.64,1.1,-0.14
5.022,0.8,0.15,-1.49,-0.64,1.1,-0.14
5.022,0.8,0.15,-1.49,-0.64,1.1,-0.14
5.032,0.8,0.15,-1.49,-0.52,1.02,-0.13
5.032,0.8,0.15,-1.49,-0.52,1.02,-0.13
5.033,0.91,0.17,-1.41,-0.52,1.02,-0.13
5.033,0.91,0.17,-1.41,-0.52,1.02,-0.13
5.041,0.91,0.17,-1.41,-0.42,0.97,-0.14
5.042,0.91,0.17,-1.41,-0.42,0.97,-0.14
5.043,1.05,0.19,-1.31,-0.42,0.97,-0.14
5.043,1.05,0.19,-1.31,-0.42,0.97,-0.14
5.051,1.05,0.19,-1.31,-0.33,0.94,-0.18
5.051,1.05,0.19,-1.31,-0.33,0.94,-0.18
5.052,1.28,0.19,-1.25,-0.33,0.94,-0.18
5.052,1.28,0.19,-1.25,-0.33,0.94,-0.18
5.06,1.28,0.19,-1.25,-0.25,0.92,-0.25
5.061,1.28,0.19,-1.25,-0.25,0.92,-0.25
5.062,1.55,0.2,-1.21,-0.25,0.92,-0.25
5.062,1.55,0.2,-1.21,-0.25,0.92,-0.25
5.071,1.55,0.2,-1.21,-0.17,0.9,-0.35
5.072,1.55,0.2,-1.21,-0.17,0.9,-0.35
5.073,1.81,0.2,-1.13,-0.17,0.9,-0.35
5.073,1.81,0.2,-1.13,-0.17,0.9,-0.35
5.079,1.81,0.2,-1.13,-0.11,0.86,-0.49
