time,ax,ay,az,wx,wy,wz
5.33,0.25,0.44,0.32,0,0,0
5.33,0.25,0.44,0.32,0,0,0
5.339,0.25,0.44,0.32,0,0,0
5.34,0.25,0.44,0.32,0,0,0
5.34,0.21,0.48,0.42,0,0,0
5.341,0.21,0.48,0.42,0,0,0
5.355,0.21,0.48,0.42,0,0,0
5.357,0.21,0.48,0.42,0,0,0
5.357,0.14,0.52,0.54,0,0,0
5.358,0.14,0.52,0.54,0,0,0
5.359,0.14,0.52,0.54,0,0,0
5.36,0.14,0.52,0.54,0,0,0
5.361,0.08,0.51,0.61,0,0,0
5.361,0.08,0.51,0.61,0,0,0
5.369,0.08,0.51,0.61,0,0,0
5.37,0.08,0.51,0.61,0,0,0
5.371,0.01,0.51,0.61,0,0,0
5.371,0.01,0.51,0.61,0,0,0
5.377,0.01,0.51,0.61,0.21,-0.28,-0.16
5.378,0.01,0.51,0.61,0.21,-0.28,-0.16
5.378,-0.04,0.5,0.51,0.21,-0.28,-0.16
5.379,-0.04,0.5,0.51,0.21,-0.28,-0.16
5.386,-0.04,0.5,0.51,0.26,-0.28,-0.13
5.388,-0.04,0.5,0.51,0.26,-0.28,-0.13
5.388,-0.08,0.48,0.35,0.26,-0.28,-0.13
5.389,-0.08,0.48,0.35,0.26,-0.28,-0.13
5.396,-0.08,0.48,0.35,0.29,-0.23,-0.08
5.397,-0.08,0.48,0.35,0.29,-0.23,-0.08
5.398,-0.13,0.46,0.12,0.29,-0.23,-0.08
5.399,-0.13,0.46,0.12,0.29,-0.23,-0.08
5.405,-0.13,0.46,0.12,0.28,-0.15,-0.04
5.407,-0.13,0.46,0.12,0.28,-0.15,-0.04
5.407,-0.2,0.47,-0.07,0.28,-0.15,-0.04
5.408,-0.2,0.47,-0.07,0.28,-0.15,-0.04
5.416,-0.2,0.47,-0.07,0.21,-0.05,0.01
5.417,-0.2,0.47,-0.07,0.21,-0.05,0.01
5.417,-0.26,0.52,-0.23,0.21,-0.05,0.01
5.418,-0.26,0.52,-0.23,0.21,-0.05,0.01
5.425,-0.26,0.52,-0.23,0.1,0.08,0.05
5.426,-0.26,0.52,-0.23,0.1,0.08,0.05
