time,ax,ay,az,wx,wy,wz
5,-0.23,1.71,-1.68,-0.74,-0.18,0.5
5.003,-0.23,1.71,-1.68,-0.74,-0.18,0.5
5.005,-0.17,1.72,-1.63,-0.74,-0.18,0.5
5.006,-0.17,1.72,-1.63,-0.74,-0.18,0.5
5.022,-0.17,1.72,-1.63,-0.84,-0.1,0.42
5.024,-0.17,1.72,-1.63,-0.84,-0.1,0.42
5.025,-0.14,1.72,-1.61,-0.84,-0.1,0.42
5.025,-0.14,1.72,-1.61,-0.84,-0.1,0.42
5.026,-0.14,1.72,-1.61,-0.93,-0.03,0.31
5.027,-0.14,1.72,-1.61,-0.93,-0.03,0.31
5.028,-0.1,1.71,-1.72,-0.93,-0.03,0.31
5.029,-0.1,1.71,-1.72,-0.93,-0.03,0.31
5.03,-0.1,1.71,-1.72,-0.98,0.01,0.2
5.03,-0.1,1.71,-1.72,-0.98,0.01,0.2
5.03,-0.03,1.58,-1.85,-0.98,0.01,0.2
5.03,-0.03,1.58,-1.85,-0.98,0.01,0.2
5.038,-0.03,1.58,-1.85,-0.98,0.01,0.2
5.039,-0.03,1.58,-1.85,-0.98,0.01,0.2
5.039,-0.03,1.58,-1.85,-0.98,0.01,0.2
5.04,-0.03,1.58,-1.85,-0.98,0.01,0.2
5.047,-0.03,1.58,-1.85,-1,0.04,0.11
5.048,-0.03,1.58,-1.85,-1,0.04,0.11
5.048,0.1,0.75,-1.62,-1,0.04,0.11
5.049,0.1,0.75,-1.62,-1,0.04,0.11
5.057,0.1,0.75,-1.62,-1,0.06,0.03
5.058,0.1,0.75,-1.62,-1,0.06,0.03
5.058,0.08,-1.21,0.32,-1,0.06,0.03
5.058,0.08,-1.21,0.32,-1,0.06,0.03
5.067,0.08,-1.21,0.32,-0.88,0.08,-0.08
5.068,0.08,-1.21,0.32,-0.88,0.08,-0.08
5.069,0.12,-2.81,0.8,-0.88,0.08,-0.08
5.07,0.12,-2.81,0.8,-0.88,0.08,-0.08
5.08,0.12,-2.81,0.8,0.08,0.06,-0.39
5.08,0.12,-2.81,0.8,0.08,0.06,-0.39
5.081,0.44,-3.37,1.43,0.08,0.06,-0.39
5.081,0.44,-3.37,1.43,0.08,0.06,-0.39
5.087,0.44,-3.37,1.43,0.08,0.06,-0.39
5.088,0.44,-3.37,1.43,0.08,0.06,-0.39
5.088,0.44,-3.37,1.43,0.08,0.06,-0.39
5.089,0.44,-3.37,1.43,0.08,0.06,-0.39
5.095,0.44,-3.37,1.43,0.76,0.04,-0.57
5.096,0.44,-3.37,1.43,0.76,0.04,-0.57
5.097,2.92,-3.16,1.73,0.76,0.04,-0.57
5.097,2.92,-3.16,1.73,0.76,0.04,-0.57
5.105,2.92,-3.16,1.73,1.28,0.06,-0.78
5.106,2.92,-3.16,1.73,1.28,0.06,-0.78
5.106,4.53,-1.19,1.5,1.28,0.06,-0.78
5.107,4.53,-1.19,1.5,1.28,0.06,-0.78
5.114,4.53,-1.19,1.5,1.6,0.13,-1.14
5.115,4.53,-1.19,1.5,1.6,0.13,-1.14
5.116,4.58,0.3,1.14,1.6,0.13,-1.14
5.116,4.58,0.3,1.14,1.6,0.13,-1.14
5.124,4.58,0.3,1.14,1.73,0.23,-1.71
5.125,4.58,0.3,1.14,1.73,0.23,-1.71
5.125,4.11,0.53,-0.46,1.73,0.23,-1.71
5.126,4.11,0.53,-0.46,1.73,0.23,-1.71
5.133,4.11,0.53,-0.46,1.68,0.36,-2.36
5.134,4.11,0.53,-0.46,1.68,0.36,-2.36
5.135,2.08,0.53,-0.84,1.68,0.36,-2.36
5.136,2.08,0.53,-0.84,1.68,0.36,-2.36
5.143,2.08,0.53,-0.84,1.42,0.49,-2.83
5.144,2.08,0.53,-0.84,1.42,0.49,-2.83
5.144,0.26,0.22,-2.57,1.42,0.49,-2.83
5.145,0.26,0.22,-2.57,1.42,0.49,-2.83
5.152,0.26,0.22,-2.57,0.9,0.58,-2.84
5.153,0.26,0.22,-2.57,0.9,0.58,-2.84
5.154,-0.36,-0.25,-2.65,0.9,0.58,-2.84
5.154,-0.36,-0.25,-2.65,0.9,0.58,-2.84
5.168,-0.36,-0.25,-2.65,0.16,0.6,-2.31
5.169,-0.36,-0.25,-2.65,0.16,0.6,-2.31
5.17,-0.87,-0.65,-2.5,0.16,0.6,-2.31
5.17,-0.87,-0.65,-2.5,0.16,0.6,-2.31
5.176,-0.87,-0.65,-2.5,-0.64,0.59,-1.4
5.176,-0.87,-0.65,-2.5,-0.64,0.59,-1.4
5.177,-1.06,-0.8,-0.85,-0.64,0.59,-1.4
5.177,-1.06,-0.8,-0.85,-0.64,0.59,-1.4
5.195,-1.06,-0.8,-0.85,-1.53,0.59,0.47
5.197,-1.06,-0.8,-0.85,-1.53,0.59,0.47
5.197,-1.06,-0.8,-0.85,-1.53,0.59,0.47
5.198,-1.06,-0.8,-0.85,-1.53,0.59,0.47
5.199,-0.79,-0.66,-0.32,-1.53,0.59,0.47
5.199,-0.79,-0.66,-0.32,-1.53,0.59,0.47
5.2,-0.79,-0.66,-0.32,-1.53,0.59,0.47
5.2,-0.79,-0.66,-0.32,-1.53,0.59,0.47
5.201,-0.79,-0.66,-0.32,-1.4,0.59,1.07
5.201,-0.79,-0.66,-0.32,-1.4,0.59,1.07
5.202,1.22,0.01,1.88,-1.4,0.59,1.07
5.203,1.22,0.01,1.88,-1.4,0.59,1.07
5.209,1.22,0.01,1.88,-1,0.56,1.37
5.21,1.22,0.01,1.88,-1,0.56,1.37
5.211,1.52,0.21,2.36,-1,0.56,1.37
5.211,1.52,0.21,2.36,-1,0.56,1.37
5.219,1.52,0.21,2.36,-0.41,0.49,1.32
5.221,1.52,0.21,2.36,-0.41,0.49,1.32
5.222,1.72,0.23,2.64,-0.41,0.49,1.32
5.223,1.72,0.23,2.64,-0.41,0.49,1.32
5.231,1.72,0.23,2.64,0.29,0.37,0.99
5.233,1.72,0.23,2.64,0.29,0.37,0.99
5.233,1.75,0.1,2.7,0.29,0.37,0.99
5.234,1.75,0.1,2.7,0.29,0.37,0.99
5.238,1.75,0.1,2.7,0.29,0.37,0.99
5.239,1.75,0.1,2.7,0.29,0.37,0.99
5.239,1.75,0.1,2.7,0.29,0.37,0.99
5.239,1.75,0.1,2.7,0.29,0.37,0.99
5.247,1.75,0.1,2.7,1.02,0.25,0.5
5.248,1.75,0.1,2.7,1.02,0.25,0.5
5.248,1.51,-0.45,2.48,1.02,0.25,0.5
5.249,1.51,-0.45,2.48,1.02,0.25,0.5
5.257,1.51,-0.45,2.48,1.61,0.15,0.06
5.257,1.51,-0.45,2.48,1.61,0.15,0.06
5.258,1.37,-0.7,2.31,1.61,0.15,0.06
5.258,1.37,-0.7,2.31,1.61,0.15,0.06
5.268,1.37,-0.7,2.31,1.94,0.09,-0.25
5.268,1.37,-0.7,2.31,1.94,0.09,-0.25
5.269,1.29,-0.89,2.08,1.94,0.09,-0.25
5.269,1.29,-0.89,2.08,1.94,0.09,-0.25
5.277,1.29,-0.89,2.08,2.04,0.06,-0.42
5.278,1.29,-0.89,2.08,2.04,0.06,-0.42
5.278,1.26,-0.93,1.78,2.04,0.06,-0.42
5.278,1.26,-0.93,1.78,2.04,0.06,-0.42
5.286,1.26,-0.93,1.78,1.94,0.06,-0.47
5.288,1.26,-0.93,1.78,1.94,0.06,-0.47
5.289,1.26,-0.83,1.5,1.94,0.06,-0.47
5.289,1.26,-0.83,1.5,1.94,0.06,-0.47
5.296,1.26,-0.83,1.5,1.7,0.07,-0.47
5.297,1.26,-0.83,1.5,1.7,0.07,-0.47
5.298,1.2,-0.63,1.31,1.7,0.07,-0.47
5.298,1.2,-0.63,1.31,1.7,0.07,-0.47
5.304,1.2,-0.63,1.31,1.39,0.09,-0.44
5.305,1.2,-0.63,1.31,1.39,0.09,-0.44
5.305,1.11,-0.36,1.25,1.39,0.09,-0.44
5.306,1.11,-0.36,1.25,1.39,0.09,-0.44
5.314,1.11,-0.36,1.25,1.06,0.1,-0.4
5.315,1.11,-0.36,1.25,1.06,0.1,-0.4
